date,enrollment,program,completed,withdrawn,dropped_out,gcash,cash,maya,voucher,walk_in
2020-03-31,42,Barista Training NC II,32,3,7,8,12,6,16,26
2020-06-30,58,Barista Training NC II,51,5,2,14,18,9,17,41
2020-09-30,84,Barista Training NC II,71,10,3,20,26,13,25,59
2020-12-31,61,Barista Training NC II,50,4,7,15,19,9,18,43
2021-03-31,81,Barista Training NC II,59,8,14,20,25,12,24,57
2021-06-30,49,Barista Training NC II,35,5,9,12,15,7,15,34
2021-09-30,66,Barista Training NC II,46,3,17,16,20,10,20,46
2021-12-31,89,Barista Training NC II,77,9,3,22,28,13,26,63
2022-03-31,75,Barista Training NC II,61,5,9,18,23,11,23,52
2022-06-30,42,Barista Training NC II,35,2,5,10,13,6,13,29
2022-09-30,62,Barista Training NC II,43,8,11,15,19,9,19,43
2022-12-31,59,Barista Training NC II,52,8,1,14,18,9,18,41
2023-03-31,75,Barista Training NC II,64,9,2,18,23,11,23,52
2023-06-30,78,Barista Training NC II,57,6,15,19,24,12,23,55
2023-09-30,51,Barista Training NC II,37,3,11,12,16,8,15,36
2023-12-31,41,Barista Training NC II,30,4,7,10,13,6,12,29
2024-03-31,43,Barista Training NC II,32,4,7,10,13,7,13,30
2024-06-30,71,Barista Training NC II,57,4,10,17,22,11,21,50
2024-09-30,50,Barista Training NC II,39,4,7,12,16,8,15,35
2024-12-31,45,Barista Training NC II,34,2,9,11,14,7,13,32
2025-03-31,56,Barista Training NC II,46,7,3,14,17,8,17,39
2025-06-30,48,Barista Training NC II,34,3,11,12,15,7,14,34
2025-09-30,52,Barista Training NC II,39,6,7,13,16,8,15,37
