date,enrollment,program,completed,withdrawn,dropped_out,gcash,cash,maya,voucher,walk_in
2020-03-31,35,Bartending NC II,27,3,5,7,11,5,12,23
2020-06-30,19,Bartending NC II,16,1,2,4,6,3,6,13
2020-09-30,19,Bartending NC II,16,2,1,4,6,3,6,13
2020-12-31,26,Bartending NC II,21,1,4,6,8,4,9,17
2021-03-31,31,Bartending NC II,22,3,6,7,10,5,11,20
2021-06-30,27,Bartending NC II,19,2,6,6,9,4,9,18
2021-09-30,40,Bartending NC II,28,2,10,10,12,6,14,26
2021-12-31,40,Bartending NC II,34,4,2,10,12,6,14,26
2022-03-31,35,Bartending NC II,28,2,5,8,11,5,12,23
2022-06-30,20,Bartending NC II,16,1,3,5,6,3,7,13
2022-09-30,43,Bartending NC II,30,6,7,10,14,6,15,28
2022-12-31,39,Bartending NC II,34,5,0,9,12,6,14,25
2023-03-31,40,Bartending NC II,34,5,1,10,12,6,14,26
2023-06-30,40,Bartending NC II,29,3,8,10,12,6,14,26
2023-09-30,44,Bartending NC II,32,2,10,11,14,6,15,29
2023-12-31,37,Bartending NC II,27,4,6,9,11,6,13,24
2024-03-31,20,Bartending NC II,15,1,4,5,6,3,7,13
2024-06-30,15,Bartending NC II,12,0,3,4,5,2,5,10
2024-09-30,43,Bartending NC II,33,4,6,10,14,6,15,28
2024-12-31,44,Bartending NC II,33,2,9,11,14,6,15,29
2025-03-31,35,Bartending NC II,28,4,3,8,11,5,12,23
2025-06-30,43,Bartending NC II,31,3,9,10,14,6,15,28
2025-09-30,27,Bartending NC II,20,3,4,7,8,4,9,18
