CHEFS_CATERING_SERVICES_NC_II_HISTORICAL
date,enrollment,program,completed,withdrawn,dropped_out
2020-03-31,72,Chef's Catering Services NC II,55,6,11
2020-06-30,36,Chef's Catering Services NC II,32,3,1
2020-09-30,47,Chef's Catering Services NC II,39,6,2
2020-12-31,44,Chef's Catering Services NC II,36,3,5
2021-03-31,51,Chef's Catering Services NC II,37,5,9
2021-06-30,37,Chef's Catering Services NC II,27,4,6
2021-09-30,41,Chef's Catering Services NC II,29,2,10
2021-12-31,35,Chef's Catering Services NC II,30,3,2
2022-03-31,45,Chef's Catering Services NC II,36,3,6
2022-06-30,53,Chef's Catering Services NC II,44,2,7
2022-09-30,45,Chef's Catering Services NC II,31,6,8
2022-12-31,63,Chef's Catering Services NC II,56,9,-2
2023-03-31,34,Chef's Catering Services NC II,29,4,1
2023-06-30,39,Chef's Catering Services NC II,28,3,8
2023-09-30,40,Chef's Catering Services NC II,29,2,9
2023-12-31,52,Chef's Catering Services NC II,38,6,8
2024-03-31,66,Chef's Catering Services NC II,50,6,10
2024-06-30,45,Chef's Catering Services NC II,36,2,7
2024-09-30,62,Chef's Catering Services NC II,48,6,8
2024-12-31,34,Chef's Catering Services NC II,25,1,8
2025-03-31,65,Chef's Catering Services NC II,53,9,3
2025-06-30,71,Chef's Catering Services NC II,51,5,15
2025-09-30,59,Chef's Catering Services NC II,44,6,9
