date,enrollment,program,completed,withdrawn,dropped_out,gcash,cash,maya,voucher,walk_in
2020-03-31,70,Cookery NC II,54,6,10,17,22,11,20,50
2020-06-30,136,Cookery NC II,121,13,2,34,43,21,38,98
2020-09-30,145,Cookery NC II,122,18,5,36,46,22,41,104
2020-12-31,90,Cookery NC II,73,6,11,22,29,14,25,65
2021-03-31,145,Cookery NC II,106,14,25,36,46,22,41,104
2021-06-30,153,Cookery NC II,111,16,26,38,49,23,43,110
2021-09-30,91,Cookery NC II,64,4,23,23,29,14,26,65
2021-12-31,113,Cookery NC II,98,12,3,28,36,17,32,81
2022-03-31,91,Cookery NC II,74,6,11,23,29,14,26,65
2022-06-30,93,Cookery NC II,78,5,10,23,30,14,26,67
2022-09-30,97,Cookery NC II,68,14,15,24,31,15,27,70
2022-12-31,123,Cookery NC II,109,18,-4,31,39,19,35,88
2023-03-31,101,Cookery NC II,87,13,1,25,32,16,28,73
2023-06-30,115,Cookery NC II,85,9,21,29,37,18,32,83
2023-09-30,91,Cookery NC II,67,5,19,23,29,14,26,65
2023-12-31,78,Cookery NC II,57,9,12,19,25,12,22,56
2024-03-31,86,Cookery NC II,65,8,13,21,27,13,24,62
2024-06-30,151,Cookery NC II,121,9,21,38,48,23,43,108
2024-09-30,116,Cookery NC II,91,11,14,29,37,18,33,83
2024-12-31,77,Cookery NC II,58,4,15,19,25,12,22,55
2025-03-31,149,Cookery NC II,122,20,7,37,47,23,42,107
2025-06-30,125,Cookery NC II,90,9,26,31,40,19,35,90
2025-09-30,157,Cookery NC II,119,18,20,39,50,24,44,113
