date,enrollment,program,completed,withdrawn,dropped_out,gcash,cash,maya,voucher,walk_in
2020-03-31,27,Events Management NC III,20,2,5,7,8,4,8,19
2020-06-30,57,Events Management NC III,50,5,2,14,18,9,17,40
2020-09-30,32,Events Management NC III,27,4,1,8,10,5,9,23
2020-12-31,25,Events Management NC III,20,1,4,6,8,4,7,18
2021-03-31,34,Events Management NC III,24,3,7,8,11,5,10,24
2021-06-30,27,Events Management NC III,19,2,6,7,8,4,8,19
2021-09-30,35,Events Management NC III,24,1,10,9,11,5,10,25
2021-12-31,38,Events Management NC III,33,4,1,9,12,6,11,27
2022-03-31,24,Events Management NC III,19,1,4,6,8,4,7,17
2022-06-30,23,Events Management NC III,19,1,3,6,7,4,7,16
2022-09-30,50,Events Management NC III,35,7,8,12,16,8,15,35
2022-12-31,49,Events Management NC III,43,7,-1,12,16,7,14,35
2023-03-31,35,Events Management NC III,30,4,1,9,11,5,10,25
2023-06-30,27,Events Management NC III,20,2,5,7,8,4,8,19
2023-09-30,35,Events Management NC III,25,2,8,9,11,5,10,25
2023-12-31,29,Events Management NC III,21,3,5,7,9,5,9,20
2024-03-31,21,Events Management NC III,15,1,5,5,7,3,6,15
2024-06-30,59,Events Management NC III,47,3,9,15,19,9,17,42
2024-09-30,54,Events Management NC III,42,5,7,13,17,8,16,38
2024-12-31,22,Events Management NC III,16,1,5,5,7,4,6,16
2025-03-31,41,Events Management NC III,33,5,3,10,13,6,12,29
2025-06-30,25,Events Management NC III,18,1,6,6,8,4,7,18
2025-09-30,37,Events Management NC III,28,4,5,9,12,6,11,26
