date,enrollment,program,completed,withdrawn,dropped_out,gcash,cash,maya,voucher,walk_in
2020-03-31,55,Food and Beverage Services NC II,42,4,9,14,17,8,16,39
2020-06-30,91,Food and Beverage Services NC II,81,8,2,23,29,14,25,66
2020-09-30,76,Food and Beverage Services NC II,64,9,3,19,24,11,22,54
2020-12-31,55,Food and Beverage Services NC II,45,3,7,14,17,8,16,39
2021-03-31,50,Food and Beverage Services NC II,36,5,9,12,16,8,14,36
2021-06-30,86,Food and Beverage Services NC II,62,9,15,21,27,13,24,62
2021-09-30,74,Food and Beverage Services NC II,52,4,18,18,24,11,21,53
2021-12-31,96,Food and Beverage Services NC II,83,10,3,24,30,15,27,69
2022-03-31,94,Food and Beverage Services NC II,77,6,11,23,30,14,27,67
2022-06-30,93,Food and Beverage Services NC II,78,5,10,23,30,14,26,67
2022-09-30,90,Food and Beverage Services NC II,63,13,14,22,29,14,25,65
2022-12-31,105,Food and Beverage Services NC II,93,15,-3,26,33,16,30,75
2023-03-31,72,Food and Beverage Services NC II,62,9,1,18,23,11,20,52
2023-06-30,84,Food and Beverage Services NC II,62,6,16,21,27,13,24,60
2023-09-30,96,Food and Beverage Services NC II,70,5,21,24,30,15,27,69
2023-12-31,97,Food and Beverage Services NC II,71,11,15,24,31,15,27,70
2024-03-31,85,Food and Beverage Services NC II,64,7,14,21,27,13,24,61
2024-06-30,54,Food and Beverage Services NC II,43,3,8,13,17,8,15,39
2024-09-30,85,Food and Beverage Services NC II,66,8,11,21,27,13,24,61
2024-12-31,78,Food and Beverage Services NC II,59,4,15,19,25,12,22,56
2025-03-31,103,Food and Beverage Services NC II,84,14,5,26,33,16,29,74
2025-06-30,96,Food and Beverage Services NC II,69,7,20,24,30,15,27,69
2025-09-30,91,Food and Beverage Services NC II,69,10,12,23,29,14,26,65
