date,enrollment,program,completed,withdrawn,dropped_out,gcash,cash,maya,voucher,walk_in
2020-03-31,72,Ship's Catering Services NC II,55,6,11,18,23,11,20,52
2020-06-30,36,Ship's Catering Services NC II,32,3,1,9,11,5,11,25
2020-09-30,47,Ship's Catering Services NC II,39,6,2,12,15,7,13,34
2020-12-31,44,Ship's Catering Services NC II,36,3,5,11,14,7,12,32
2021-03-31,51,Ship's Catering Services NC II,37,5,9,13,16,8,14,37
2021-06-30,37,Ship's Catering Services NC II,27,4,6,9,12,6,10,27
2021-09-30,41,Ship's Catering Services NC II,29,2,10,10,13,6,12,29
2021-12-31,35,Ship's Catering Services NC II,30,3,2,9,11,5,10,25
2022-03-31,45,Ship's Catering Services NC II,36,3,6,11,14,7,13,32
2022-06-30,53,Ship's Catering Services NC II,44,2,7,13,17,8,15,38
2022-09-30,45,Ship's Catering Services NC II,31,6,8,11,14,7,13,32
2022-12-31,63,Ship's Catering Services NC II,56,9,-2,16,20,10,18,45
2023-03-31,34,Ship's Catering Services NC II,29,4,1,8,11,5,10,24
2023-06-30,39,Ship's Catering Services NC II,28,3,8,10,12,6,11,28
2023-09-30,40,Ship's Catering Services NC II,29,2,9,10,13,6,11,29
2023-12-31,52,Ship's Catering Services NC II,38,6,8,13,17,8,15,37
2024-03-31,66,Ship's Catering Services NC II,50,6,10,16,21,10,19,47
2024-06-30,45,Ship's Catering Services NC II,36,2,7,11,14,7,13,32
2024-09-30,62,Ship's Catering Services NC II,48,6,8,15,20,10,18,44
2024-12-31,34,Ship's Catering Services NC II,25,1,8,8,11,5,10,24
2025-03-31,65,Ship's Catering Services NC II,53,9,3,16,21,10,19,46
2025-06-30,71,Ship's Catering Services NC II,51,5,15,18,23,11,20,51
2025-09-30,59,Ship's Catering Services NC II,44,6,9,15,19,9,17,42
